OBJECTID,CD_GEOCODM,SHAPE_LENG,ANO_BASE,ID_ESTADO,NOME,ID_MUNICIP,OBJECTID_12,AA_REF,AA_MALHA,PAI_CD,MUN_CD,MUN_CD_FINAL,MUN_NM,MUN_NM_FINAL,MUN_NM_UF_FINAL,EST_NM,EST_NM_FINAL,EST_SIGLA_FINAL,RGE_NM,RGE_NM_FINAL,RETIRADA_HU_M3_S,CONSUMO_HU_M3_S,RETORNO_HU_M3_S,RETIRADA_HR_M3_S,CONSUMO_HR_M3_S,RETORNO_HR_M3_S,RETIRADA_IT_M3_S,CONSUMO_IT_M3_S,RETORNO_IT_M3_S,RETIRADA_MN_M3_S,CONSUMO_MN_M3_S,RETORNO_MN_M3_S,RETIRADA_TE_M3_S,CONSUMO_TE_M3_S,RETORNO_TE_M3_S,RETIRADA_AN_M3_S,CONSUMO_AN_M3_S,RETORNO_AN_M3_S,RETIRADA_IR_M3_S,CONSUMO_IR_M3_S,RETORNO_IR_M3_S,RETIRADA_TOTAL_M3_S,CONSUMO_TOTAL_M3_S,RETORNO_TOTAL_M3_S,SHAPEAREA,SHAPELEN
3367,3303856,0.75898329,2013,33,Paty do Alferes,3303856,3229,2030,2013,BR,3303856,3303856,Paty do Alferes,Paty do Alferes,RJ - Paty do Alferes,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.09278023,0.01855605,0.07422418,0.00916522,0.00733218,0.00183304,0.02334315,0.00453007,0.01881308,0.00038928,0.00017775,0.00021153,0,0,0,0.01937221,0.01521248,0.00415972,0.07394966,0.04506144,0.02888822,0.21899975,0.09086997,0.12812978,0,0
3368,3303906,1.65481388,2013,33,Petrópolis,3303906,3230,2030,2013,BR,3303906,3303906,PetrÃ³polis,Petrópolis,RJ - Petrópolis,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.38366369,0.07673274,0.30693096,0.01435475,0.0114838,0.00287095,0.42973797,0.09371851,0.33601947,0.03291003,0.0150271,0.01788293,0,0,0,0.01722038,0.01264744,0.00457294,0.09560962,0.05909479,0.03651483,0.97349645,0.26870437,0.70479208,0,0
3369,3303955,0.48844748,2013,33,Pinheiral,3303955,3231,2030,2013,BR,3303955,3303955,Pinheiral,Pinheiral,RJ - Pinheiral,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.07381524,0.01476305,0.05905219,0.00388744,0.00310995,0.00077749,0.00475527,0.00101122,0.00374405,0,0,0,0,0,0,0.00737458,0.00536487,0.00200971,0.00710304,0.00426183,0.00284122,0.09693557,0.02851091,0.06842466,0,0
3370,3304003,1.57746818,2013,33,Piraí,3304003,3232,2030,2013,BR,3304003,3304003,PiraÃ­,Piraí,RJ - Piraí,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.09598021,0.01919604,0.07678417,0.01073351,0.00858681,0.0021467,0.25783747,0.0536113,0.20422617,0,0,0,0,0,0,0.03757177,0.02812402,0.00944776,0.00272076,0.00251943,0.00020134,0.40484372,0.11203759,0.29280613,0,0
3371,3304102,1.38086129,2013,33,Porciúncula,3304102,3233,2030,2013,BR,3304102,3304102,PorciÃºncula,Porciúncula,RJ - Porciúncula,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.04904302,0.0098086,0.03923442,0.0046658,0.00373264,0.00093316,0.00534524,0.00079472,0.00455052,2.586e-05,1.181e-05,1.405e-05,0,0,0,0.02344892,0.01586557,0.00758335,0.00125399,0.00089956,0.00035444,0.08378284,0.0311129,0.05266993,0,0
3372,3304110,0.35802248,2013,33,Porto Real,3304110,3234,2030,2013,BR,3304110,3304110,Porto Real,Porto Real,RJ - Porto Real,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.06541132,0.01308226,0.05232905,0,0,0,0.21048404,0.07419793,0.13628611,1.042e-05,4.76e-06,5.66e-06,0,0,0,0.01281605,0.00914169,0.00367436,0.0010027,0.00060162,0.00040108,0.28972453,0.09702827,0.19269626,0,0
3373,3304128,1.14396553,2013,33,Quatis,3304128,3235,2030,2013,BR,3304128,3304128,Quatis,Quatis,RJ - Quatis,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.05134647,0.01026929,0.04107717,0.00108218,0.00086574,0.00021644,0.0002876,9.666e-05,0.00019095,5.561e-05,2.539e-05,3.022e-05,0,0,0,0.02950294,0.0217189,0.00778404,0.00091112,0.00054667,0.00036445,0.08318592,0.03352266,0.04966326,0,0
3374,3304144,0.48196577,2013,33,Queimados,3304144,3236,2030,2013,BR,3304144,3304144,Queimados,Queimados,RJ - Queimados,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.64800562,0.12960112,0.51840449,0,0,0,0.04938184,0.01636767,0.03301417,0.00442122,0.00201878,0.00240244,0,0,0,0.00226457,0.0017877,0.00047687,0.0009505,0.00058376,0.00036673,0.70502374,0.15035904,0.5546647,0,0
3375,3304151,1.47664115,2013,33,Quissamã,3304151,3237,2030,2013,BR,3304151,3304151,QuissamÃ£,Quissamã,RJ - Quissamã,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.06218821,0.01243764,0.04975057,0.00961806,0.00769444,0.00192361,0.00227002,0.00123501,0.00103501,2.59e-06,1.18e-06,1.41e-06,0,0,0,0.04194186,0.0326263,0.00931555,0.09356415,0.08647177,0.00709237,0.20958488,0.14046635,0.06911853,0,0
3376,3304201,3.17567402,2013,33,Resende,3304201,3238,2030,2013,BR,3304201,3304201,Resende,Resende,RJ - Resende,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.4437176,0.08874352,0.35497408,0.00198495,0.00158796,0.00039699,0.20928153,0.05676809,0.15251344,0,0,0,0,0,0,0.08446263,0.05915755,0.02530509,0.02218166,0.01378374,0.00839792,0.76162838,0.22004087,0.54158751,0,0
