OBJECTID,CD_GEOCODM,SHAPE_LENG,ANO_BASE,ID_ESTADO,NOME,ID_MUNICIP,OBJECTID_12,AA_REF,AA_MALHA,PAI_CD,MUN_CD,MUN_CD_FINAL,MUN_NM,MUN_NM_FINAL,MUN_NM_UF_FINAL,EST_NM,EST_NM_FINAL,EST_SIGLA_FINAL,RGE_NM,RGE_NM_FINAL,RETIRADA_HU_M3_S,CONSUMO_HU_M3_S,RETORNO_HU_M3_S,RETIRADA_HR_M3_S,CONSUMO_HR_M3_S,RETORNO_HR_M3_S,RETIRADA_IT_M3_S,CONSUMO_IT_M3_S,RETORNO_IT_M3_S,RETIRADA_MN_M3_S,CONSUMO_MN_M3_S,RETORNO_MN_M3_S,RETIRADA_TE_M3_S,CONSUMO_TE_M3_S,RETORNO_TE_M3_S,RETIRADA_AN_M3_S,CONSUMO_AN_M3_S,RETORNO_AN_M3_S,RETIRADA_IR_M3_S,CONSUMO_IR_M3_S,RETORNO_IR_M3_S,RETIRADA_TOTAL_M3_S,CONSUMO_TOTAL_M3_S,RETORNO_TOTAL_M3_S,SHAPEAREA,SHAPELEN
1,1100015,5.8073504,2013,11,Alta Floresta D'Oeste,1100015,1,2030,2013,BR,1100015,1100015,Alta Floresta D'Oeste,Alta Floresta D'Oeste,RO - Alta Floresta D'Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.04049015,0.00809803,0.03239212,0.00793519,0.00634815,0.00158704,0.0039776,0.00062072,0.00335689,0,0,0,0,0,0,0.28824029,0.22913724,0.05910305,0.05467373,0.04863754,0.0060362,0.39531696,0.29284167,0.10247529,0,0
2,1100023,3.9868828,2013,11,Ariquemes,1100023,2,2030,2013,BR,1100023,1100023,Ariquemes,Ariquemes,RO - Ariquemes,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.45541805,0.09108361,0.36433444,0.01153819,0.00923056,0.00230764,0.07177564,0.02045979,0.05131585,0.03966564,0.01811179,0.02155385,0,0,0,0.3191888,0.25282049,0.06636831,0.01747664,0.01615874,0.00131789,0.91506296,0.40786498,0.50719798,0,0
3,1100031,1.74524141,2013,11,Cabixi,1100031,3,2030,2013,BR,1100031,1100031,Cabixi,Cabixi,RO - Cabixi,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.01529073,0.00305815,0.01223258,0.00279745,0.00223796,0.00055949,0.00194634,0.00040514,0.0015412,6.46e-05,2.95e-05,3.51e-05,0,0,0,0.0903554,0.07059288,0.01976252,0.00102849,0.00077289,0.0002556,0.11148301,0.07709651,0.0343865,0,0
4,1100049,2.96664813,2013,11,Cacoal,1100049,4,2030,2013,BR,1100049,1100049,Cacoal,Cacoal,RO - Cacoal,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.29358943,0.05871789,0.23487154,0.01615278,0.01292222,0.00323056,0.06316611,0.01002135,0.05314476,0.00117869,0.0005382,0.00064049,0,0,0,0.32577206,0.25617254,0.06959952,0.73245192,0.67824665,0.05420527,1.43231098,1.01661885,0.41569214,0,0
5,1100056,3.48590035,2013,11,Cerejeiras,1100056,5,2030,2013,BR,1100056,1100056,Cerejeiras,Cerejeiras,RO - Cerejeiras,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.0282379,0.00564758,0.02259032,0.00177662,0.0014213,0.00035532,0.00753806,0.00349166,0.0040464,0,0,0,0,0,0,0.06217607,0.04883683,0.01333924,0.00087461,0.00068178,0.00019282,0.10060325,0.06007914,0.04052411,0,0
6,1100064,1.63793398,2013,11,Colorado do Oeste,1100064,6,2030,2013,BR,1100064,1100064,Colorado do Oeste,Colorado do Oeste,RO - Colorado do Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.04682418,0.00936484,0.03745935,0.00328704,0.00262963,0.00065741,0.01484041,0.00121121,0.01362919,0.00014801,6.758e-05,8.043e-05,0,0,0,0.18702515,0.14679777,0.04022738,0.00548234,0.00441822,0.00106412,0.25760712,0.16448925,0.09311787,0,0
7,1100072,3.14319861,2013,11,Corumbiara,1100072,7,2030,2013,BR,1100072,1100072,Corumbiara,Corumbiara,RO - Corumbiara,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.02332864,0.00466573,0.01866291,0.00384028,0.00307222,0.00076806,0.00383855,0.00137529,0.00246326,0,0,0,0,0,0,0.20486965,0.16132948,0.04354017,0.00092045,0.00056553,0.00035492,0.23679757,0.17100825,0.06578932,0,0
8,1100080,5.07744965,2013,11,Costa Marques,1100080,8,2030,2013,BR,1100080,1100080,Costa Marques,Costa Marques,RO - Costa Marques,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.06234672,0.01246934,0.04987738,0.01054514,0.00843611,0.00210903,0.00026269,5.21e-05,0.00021058,3.397e-05,1.551e-05,1.846e-05,0,0,0,0.28119231,0.22126692,0.05992538,0.00014084,0.00013042,1.042e-05,0.35452167,0.24237042,0.11215125,0,0
9,1100098,3.0755366,2013,11,Espigão D'Oeste,1100098,9,2030,2013,BR,1100098,1100098,EspigÃ£o D'Oeste,Espigão D'Oeste,RO - Espigão D'Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.07775132,0.01555026,0.06220106,0.00857986,0.00686389,0.00171597,0.04181336,0.00634868,0.03546468,0.01150941,0.00525533,0.00625408,0,0,0,0.28557232,0.22424158,0.06133073,0.0378595,0.03505638,0.00280312,0.46308577,0.29331612,0.16976964,0,0
10,1100106,9.14668442,2013,11,Guajará-Mirim,1100106,10,2030,2013,BR,1100106,1100106,GuajarÃ¡-Mirim,Guajará-Mirim,RO - Guajará-Mirim,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.2246648,0.04493296,0.17973184,0.00912847,0.00730278,0.00182569,0.01379933,0.00287897,0.01092036,0.00012782,5.836e-05,6.946e-05,0,0,0,0.14850057,0.11755945,0.03094112,0.00971547,0.00874413,0.00097134,0.40593645,0.18147665,0.2244598,0,0
11,1100114,3.93738074,2013,11,Jaru,1100114,11,2030,2013,BR,1100114,1100114,Jaru,Jaru,RO - Jaru,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.12776392,0.02555278,0.10221114,0.01176273,0.00941019,0.00235255,0.14353124,0.02567319,0.11785805,0.00025673,0.00011723,0.00013951,0,0,0,0.383533,0.29780646,0.08572654,0.02175418,0.01377787,0.00797631,0.6886018,0.37233771,0.31626409,0,0
12,1100122,4.86820518,2013,11,Ji-Paraná,1100122,12,2030,2013,BR,1100122,1100122,Ji-ParanÃ¡,Ji-Paraná,RO - Ji-Paraná,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.56300092,0.11260018,0.45040074,0.00943866,0.00755093,0.00188773,0.14037552,0.04492448,0.09545104,0.00056756,0.00025915,0.0003084,0,0,0,0.3164336,0.24755363,0.06887997,0.09701642,0.08835374,0.00866267,1.12683267,0.50124212,0.62559056,0,0
13,1100130,5.80155595,2013,11,Machadinho D'Oeste,1100130,13,2030,2013,BR,1100130,1100130,Machadinho D'Oeste,Machadinho D'Oeste,RO - Machadinho D'Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.16199812,0.03239962,0.1295985,0.0208206,0.01665648,0.00416412,0.00657179,0.00199496,0.00457683,0.00066061,0.00030164,0.00035897,0,0,0,0.20014033,0.15556187,0.04457847,0.01088803,0.00663595,0.00425208,0.4010795,0.21355054,0.18752896,0,0
14,1100148,2.57387499,2013,11,Nova Brasilândia D'Oeste,1100148,14,2030,2013,BR,1100148,1100148,Nova BrasilÃ¢ndia D'Oeste,Nova Brasilândia D'Oeste,RO - Nova Brasilândia D'Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.04597285,0.00919457,0.03677828,0.01429745,0.01143796,0.00285949,0.00114339,0.00030419,0.0008392,0.00184098,0.00084061,0.00100037,0,0,0,0.125647,0.09865514,0.02699185,0.04903439,0.04535639,0.003678,0.23793606,0.16578887,0.07214719,0,0
15,1100155,2.7505644,2013,11,Ouro Preto do Oeste,1100155,15,2030,2013,BR,1100155,1100155,Ouro Preto do Oeste,Ouro Preto do Oeste,RO - Ouro Preto do Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.07232814,0.01446563,0.05786251,0.00640162,0.0051213,0.00128032,0.01348054,0.00455301,0.00892753,0.00111266,0.00050805,0.00060461,0,0,0,0.26679232,0.20603557,0.06075675,0.02977564,0.02706428,0.00271136,0.38989091,0.25774783,0.13214308,0,0
16,1100189,5.04446397,2013,11,Pimenta Bueno,1100189,16,2030,2013,BR,1100189,1100189,Pimenta Bueno,Pimenta Bueno,RO - Pimenta Bueno,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.13667746,0.02733549,0.10934197,0.00342245,0.00273796,0.00068449,0.06948602,0.01422776,0.05525825,0.00577026,0.00263477,0.00313549,0,0,0,0.18691374,0.1482097,0.03870404,0.01271473,0.01081595,0.00189878,0.41498467,0.20596164,0.20902303,0,0
17,1100205,18.5224565,2013,11,Porto Velho,1100205,17,2030,2013,BR,1100205,1100205,Porto Velho,Porto Velho,RO - Porto Velho,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,3.47871184,0.69574237,2.78296948,0.0366169,0.02929352,0.00732338,0.17845014,0.05550024,0.1229499,0.0180215,0.00822882,0.00979267,0.04277183,0.03327648,0.00949535,0.93577417,0.74132806,0.19444611,0.09340825,0.05780225,0.035606,4.78375463,1.62117175,3.16258288,0,0
18,1100254,2.47328556,2013,11,Presidente Médici,1100254,18,2030,2013,BR,1100254,1100254,Presidente MÃ©dici,Presidente Médici,RO - Presidente Médici,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.03605759,0.00721152,0.02884607,0.00706019,0.00564815,0.00141204,0.01613293,0.00165333,0.01447959,0.00036947,0.00016871,0.00020077,0,0,0,0.22734598,0.17755254,0.04979343,0.06526422,0.06033465,0.00492956,0.35223037,0.2525689,0.09966147,0,0
19,1100262,1.88813917,2013,11,Rio Crespo,1100262,19,2030,2013,BR,1100262,1100262,Rio Crespo,Rio Crespo,RO - Rio Crespo,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.0065438,0.00130876,0.00523504,0.00292014,0.00233611,0.00058403,0.00166692,0.00033338,0.00133354,0.00229831,0.00104943,0.00124887,0,0,0,0.09112904,0.07245083,0.01867822,0,0,0,0.10455822,0.07747852,0.0270797,0,0
20,1100288,1.78080885,2013,11,Rolim de Moura,1100288,20,2030,2013,BR,1100288,1100288,Rolim de Moura,Rolim de Moura,RO - Rolim de Moura,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.18692356,0.03738471,0.14953884,0.00578472,0.00462778,0.00115694,0.06694051,0.01132712,0.05561339,6.205e-05,2.833e-05,3.372e-05,0,0,0,0.17577234,0.13779865,0.03797369,0.04916085,0.04462056,0.00454029,0.48464403,0.23578715,0.24885688,0,0
21,1100296,1.79146445,2013,11,Santa Luzia D'Oeste,1100296,21,2030,2013,BR,1100296,1100296,Santa Luzia D'Oeste,Santa Luzia D'Oeste,RO - Santa Luzia D'Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.01826261,0.00365252,0.01461009,0.00298148,0.00238519,0.0005963,0.04885784,0.04697479,0.00188304,0.00023004,0.00010504,0.000125,0,0,0,0.12471446,0.09791698,0.02679748,0.05955734,0.04642114,0.0131362,0.25460376,0.19745565,0.05714811,0,0
22,1100304,8.65428976,2013,11,Vilhena,1100304,22,2030,2013,BR,1100304,1100304,Vilhena,Vilhena,RO - Vilhena,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.26915318,0.05383064,0.21532254,0.00566088,0.0045287,0.00113218,0.09346601,0.01326336,0.08020265,0.00037096,0.00016938,0.00020158,0,0,0,0.08339466,0.06592861,0.01746606,0.0441497,0.03976528,0.00438441,0.49619538,0.17748597,0.31870941,0,0
23,1100320,6.37679365,2013,11,São Miguel do Guaporé,1100320,23,2030,2013,BR,1100320,1100320,SÃ£o Miguel do GuaporÃ©,São Miguel do Guaporé,RO - São Miguel do Guaporé,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.04244086,0.00848817,0.03395269,0.0094375,0.00755,0.0018875,0.0498328,0.00630115,0.04353165,0,0,0,0,0,0,0.19109403,0.1496,0.04149403,0.00083375,0.00076929,6.445e-05,0.29363894,0.17270862,0.12093032,0,0
24,1100338,5.79920649,2013,11,Nova Mamoré,1100338,24,2030,2013,BR,1100338,1100338,Nova MamorÃ©,Nova Mamoré,RO - Nova Mamoré,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.13813023,0.02762605,0.11050418,0.01251389,0.01001111,0.00250278,0.00250712,0.00081898,0.00168814,6.029e-05,2.753e-05,3.276e-05,0,0,0,0.6804993,0.52787693,0.15262237,0.00053613,0.00038352,0.00015261,0.83424696,0.56674412,0.26750284,0,0
25,1100346,3.99103282,2013,11,Alvorada D'Oeste,1100346,25,2030,2013,BR,1100346,1100346,Alvorada D'Oeste,Alvorada D'Oeste,RO - Alvorada D'Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.02484384,0.00496877,0.01987507,0.00559144,0.00447315,0.00111829,0.00085567,0.00026751,0.00058816,0,0,0,0,0,0,0.18500062,0.14451196,0.04048865,0.0153802,0.00948428,0.00589592,0.23167175,0.16370567,0.06796609,0,0
26,1100379,4.22499445,2013,11,Alto Alegre dos Parecis,1100379,26,2030,2013,BR,1100379,1100379,Alto Alegre dos Parecis,Alto Alegre dos Parecis,RO - Alto Alegre dos Parecis,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.02128757,0.00425751,0.01703006,0.00634491,0.00507593,0.00126898,0.00089248,0.00031546,0.00057701,0,0,0,0,0,0,0.13278263,0.10511637,0.02766625,0.04292229,0.03794713,0.00497516,0.20422987,0.15271241,0.05151746,0,0
27,1100403,3.62342193,2013,11,Alto Paraíso,1100403,27,2030,2013,BR,1100403,1100403,Alto ParaÃ­so,Alto Paraíso,RO - Alto Paraíso,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.04313617,0.00862723,0.03450893,0.01162616,0.00930093,0.00232523,0.00433005,0.00153644,0.00279361,0.00034579,0.00015789,0.0001879,0,0,0,0.17250774,0.13748308,0.03502466,0.00388793,0.00240859,0.00147933,0.23583383,0.15951416,0.07631967,0,0
28,1100452,3.07435152,2013,11,Buritis,1100452,28,2030,2013,BR,1100452,1100452,Buritis,Buritis,RO - Buritis,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.0750108,0.01500216,0.06000864,0.02384838,0.0190787,0.00476968,0.00520306,0.00144985,0.00375321,1.7e-05,7.76e-06,9.24e-06,0,0,0,0.58964941,0.46283656,0.12681285,0.01177484,0.0071168,0.00465805,0.7055035,0.50549183,0.20001166,0,0
29,1100502,1.39609995,2013,11,Novo Horizonte do Oeste,1100502,29,2030,2013,BR,1100502,1100502,Novo Horizonte do Oeste,Novo Horizonte do Oeste,RO - Novo Horizonte do Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.01300559,0.00260112,0.01040448,0.00482986,0.00386389,0.00096597,0.00212188,0.00069236,0.00142952,0,0,0,0,0,0,0.10978354,0.08603903,0.02374451,0.00188271,0.00174277,0.00013994,0.13162358,0.09493917,0.03668441,0,0
30,1100601,1.7548609,2013,11,Cacaulândia,1100601,30,2030,2013,BR,1100601,1100601,CacaulÃ¢ndia,Cacaulândia,RO - Cacaulândia,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.00835779,0.00167156,0.00668623,0.00455208,0.00364167,0.00091042,5.74e-06,1.16e-06,4.59e-06,0,0,0,0,0,0,0.18006914,0.14223158,0.03783756,0.00548302,0.00430975,0.00117327,0.19846777,0.15185571,0.04661206,0,0
31,1100700,3.49242726,2013,11,Campo Novo de Rondônia,1100700,31,2030,2013,BR,1100700,1100700,Campo Novo de RondÃ´nia,Campo Novo de Rondônia,RO - Campo Novo de Rondônia,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.0159047,0.00318094,0.01272376,0.01332176,0.01065741,0.00266435,8.681e-05,1.736e-05,6.944e-05,0.01859201,0.00848933,0.01010268,0,0,0,0.48628604,0.37948756,0.10679848,0.02643894,0.0161674,0.01027154,0.56063026,0.418,0.14263026,0,0
32,1100809,6.67786555,2013,11,Candeias do Jamari,1100809,32,2030,2013,BR,1100809,1100809,Candeias do Jamari,Candeias do Jamari,RO - Candeias do Jamari,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.06684749,0.0133695,0.053478,0.01236458,0.00989167,0.00247292,0.00481596,0.00163602,0.00317994,0.00158994,0.00072598,0.00086395,0,0,0,0.25106739,0.19847477,0.05259263,0.00400844,0.00337433,0.00063412,0.34069381,0.22747226,0.11322155,0,0
33,1100908,1.47619632,2013,11,Castanheiras,1100908,33,2030,2013,BR,1100908,1100908,Castanheiras,Castanheiras,RO - Castanheiras,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.00583365,0.00116673,0.00466692,0.00187153,0.00149722,0.00037431,0,0,0,0,0,0,0,0,0,0.08050703,0.06344599,0.01706103,0.00019656,0.00018153,1.503e-05,0.08840876,0.06629147,0.02211729,0,0
34,1100924,4.25631114,2013,11,Chupinguaia,1100924,34,2030,2013,BR,1100924,1100924,Chupinguaia,Chupinguaia,RO - Chupinguaia,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.02719366,0.00543873,0.02175493,0.00612153,0.00489722,0.00122431,0.00040271,6.884e-05,0.00033387,0,0,0,0,0,0,0.23256242,0.1851661,0.04739631,0.00028269,0.00026177,2.092e-05,0.266563,0.19583267,0.07073033,0,0
35,1100940,3.61440932,2013,11,Cujubim,1100940,35,2030,2013,BR,1100940,1100940,Cujubim,Cujubim,RO - Cujubim,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.04253181,0.00850636,0.03402544,0.00939583,0.00751667,0.00187917,0.00205146,0.00044453,0.00160693,0.00079791,0.00036433,0.00043357,0,0,0,0.20930201,0.16359197,0.04571003,0.00157366,0.00141222,0.00016144,0.26565267,0.18183609,0.08381658,0,0
36,1101005,3.65638522,2013,11,Governador Jorge Teixeira,1101005,36,2030,2013,BR,1101005,1101005,Governador Jorge Teixeira,Governador Jorge Teixeira,RO - Governador Jorge Teixeira,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.02022139,0.00404428,0.01617711,0.00447454,0.00357963,0.00089491,0.00015889,5.499e-05,0.00010389,0,0,0,0,0,0,0.19886015,0.15367839,0.04518175,0.00291556,0.00269981,0.00021575,0.22663052,0.1640571,0.06257342,0,0
37,1101104,4.19406627,2013,11,Itapuã do Oeste,1101104,37,2030,2013,BR,1101104,1101104,ItapuÃ£ do Oeste,Itapuã do Oeste,RO - Itapuã do Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.0315488,0.00630976,0.02523904,0.00344907,0.00275926,0.00068981,0.00163598,0.00046259,0.00117339,0.0031198,0.00142453,0.00169526,0,0,0,0.10541628,0.08249968,0.02291661,0.01268778,0.00837462,0.00431316,0.15785772,0.10183045,0.05602727,0,0
38,1101203,1.31585808,2013,11,Ministro Andreazza,1101203,38,2030,2013,BR,1101203,1101203,Ministro Andreazza,Ministro Andreazza,RO - Ministro Andreazza,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.02479746,0.00495949,0.01983797,0.00452894,0.00362315,0.00090579,0.00238223,0.00078236,0.00159987,0.0017534,0.00080062,0.00095278,0,0,0,0.09098364,0.07142592,0.01955773,0.08179216,0.07537973,0.00641244,0.20623784,0.15697127,0.04926657,0,0
39,1101302,1.97050691,2013,11,Mirante da Serra,1101302,39,2030,2013,BR,1101302,1101302,Mirante da Serra,Mirante da Serra,RO - Mirante da Serra,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.02671713,0.00534343,0.0213737,0.00388426,0.00310741,0.00077685,0.0057766,0.00213525,0.00364135,0,0,0,0,0,0,0.08882921,0.06833948,0.02048973,0.0009535,0.00074737,0.00020613,0.1261607,0.07967294,0.04648776,0,0
40,1101401,2.36891879,2013,11,Monte Negro,1101401,40,2030,2013,BR,1101401,1101401,Monte Negro,Monte Negro,RO - Monte Negro,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.04373432,0.00874686,0.03498746,0.0068912,0.00551296,0.00137824,0.00282406,0.00096961,0.00185445,0,0,0,0,0,0,0.20328029,0.15937905,0.04390124,0.00428027,0.00387471,0.00040556,0.26101015,0.1784832,0.08252694,0,0
41,1101435,1.0339611,2013,11,Nova União,1101435,41,2030,2013,BR,1101435,1101435,Nova UniÃ£o,Nova União,RO - Nova União,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.01411157,0.00282231,0.01128926,0.00416435,0.00333148,0.00083287,2.613e-05,8.72e-06,1.741e-05,0.00058164,0.00026558,0.00031606,0,0,0,0.101092,0.07851024,0.02258177,0.00108613,0.00099659,8.954e-05,0.12106183,0.08593493,0.0351269,0,0
42,1101450,2.261912,2013,11,Parecis,1101450,42,2030,2013,BR,1101450,1101450,Parecis,Parecis,RO - Parecis,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.01778199,0.0035564,0.01422559,0.00374884,0.00299907,0.00074977,6.97e-06,1.4e-06,5.57e-06,0.00328991,0.00150221,0.0017877,0,0,0,0.12500996,0.09869324,0.02631672,0.00027919,0.00025853,2.066e-05,0.15011686,0.10701085,0.04310601,0,0
43,1101468,7.13631404,2013,11,Pimenteiras do Oeste,1101468,43,2030,2013,BR,1101468,1101468,Pimenteiras do Oeste,Pimenteiras do Oeste,RO - Pimenteiras do Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.00525704,0.00105141,0.00420563,0.00105903,0.00084722,0.00021181,7.234e-05,1.447e-05,5.787e-05,2.224e-05,1.016e-05,1.208e-05,0,0,0,0.08661824,0.06897335,0.01764489,6.124e-05,5.671e-05,4.53e-06,0.09309012,0.07095331,0.02213681,0,0
44,1101476,1.31023962,2013,11,Primavera de Rondônia,1101476,44,2030,2013,BR,1101476,1101476,Primavera de RondÃ´nia,Primavera de Rondônia,RO - Primavera de Rondônia,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.00669482,0.00133896,0.00535586,0.00153356,0.00122685,0.00030671,0,0,0,0,0,0,0,0,0,0.05415692,0.04253233,0.01162458,0.02701911,0.02501969,0.00199941,0.08940441,0.07011784,0.01928657,0,0
45,1101484,1.14285404,2013,11,São Felipe D'Oeste,1101484,45,2030,2013,BR,1101484,1101484,SÃ£o Felipe D'Oeste,São Felipe D'Oeste,RO - São Felipe D'Oeste,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.01876634,0.00375327,0.01501307,0.00263079,0.00210463,0.00052616,0,0,0,0,0,0,0,0,0,0.07390077,0.05804312,0.01585765,0.00812202,0.00739809,0.00072393,0.10341991,0.07129911,0.0321208,0,0
46,1101492,6.4451939,2013,11,São Francisco do Guaporé,1101492,46,2030,2013,BR,1101492,1101492,SÃ£o Francisco do GuaporÃ©,São Francisco do Guaporé,RO - São Francisco do Guaporé,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.04378814,0.00875763,0.03503051,0.0107419,0.00859352,0.00214838,0.00282791,0.00094961,0.00187829,0,0,0,0,0,0,0.57434864,0.44953218,0.12481647,0.00316927,0.00247091,0.00069836,0.63487585,0.47030385,0.164572,0,0
47,1101500,3.79697748,2013,11,Seringueiras,1101500,47,2030,2013,BR,1101500,1101500,Seringueiras,Seringueiras,RO - Seringueiras,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.02646709,0.00529342,0.02117367,0.00617593,0.00494074,0.00123519,0.00336817,0.00114949,0.00221868,1.709e-05,7.8e-06,9.29e-06,0,0,0,0.14100426,0.11074073,0.03026354,0.01148559,0.01063566,0.00084993,0.18851814,0.13276784,0.05575029,0,0
48,1101559,0.95254854,2013,11,Teixeirópolis,1101559,48,2030,2013,BR,1101559,1101559,TeixeirÃ³polis,Teixeirópolis,RO - Teixeirópolis,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.01117396,0.00223479,0.00893917,0.00207292,0.00165833,0.00041458,0.00315175,0.00110745,0.0020443,4.215e-05,1.925e-05,2.29e-05,0,0,0,0.07320809,0.05619759,0.0170105,0.00342971,0.00260238,0.00082733,0.09307857,0.06381979,0.02925879,0,0
49,1101609,2.61497962,2013,11,Theobroma,1101609,49,2030,2013,BR,1101609,1101609,Theobroma,Theobroma,RO - Theobroma,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.02587329,0.00517466,0.02069863,0.00570023,0.00456019,0.00114005,0.00201881,0.00072485,0.00129396,0,0,0,0,0,0,0.19164814,0.15003228,0.04161585,0.01086373,0.00998498,0.00087874,0.23610419,0.17047696,0.06562723,0,0
50,1101708,1.57813693,2013,11,Urupá,1101708,50,2030,2013,BR,1101708,1101708,UrupÃ¡,Urupá,RO - Urupá,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.0273274,0.00546548,0.02186192,0.00552546,0.00442037,0.00110509,0.00564045,0.00201056,0.00362989,0,0,0,0,0,0,0.12670322,0.09620024,0.03050298,0.00269472,0.00248149,0.00021323,0.16789125,0.11057814,0.05731311,0,0
51,1101757,4.04991601,2013,11,Vale do Anari,1101757,51,2030,2013,BR,1101757,1101757,Vale do Anari,Vale do Anari,RO - Vale do Anari,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.036339,0.0072678,0.0290712,0.00633681,0.00506944,0.00126736,0.00021701,5.388e-05,0.00016313,0,0,0,0,0,0,0.09626918,0.07492766,0.02134152,0.00039967,0.00034603,5.364e-05,0.13956167,0.08766481,0.05189686,0,0
52,1101807,1.67439391,2013,11,Vale do Paraíso,1101807,52,2030,2013,BR,1101807,1101807,Vale do ParaÃ­so,Vale do Paraíso,RO - Vale do Paraíso,RondÃ´nia,Rondônia,RO,REGIÃƒO NORTE,REGIÃO NORTE,0.01546871,0.00309374,0.01237497,0.00362153,0.00289722,0.00072431,0.00063848,0.00022441,0.00041407,2.556e-05,1.167e-05,1.389e-05,0,0,0,0.12451535,0.09607419,0.02844116,0.05384001,0.04980775,0.00403227,0.19810965,0.15210898,0.04600067,0,0
